"date","state","value"
2021-01-01,"CO",5.5
2022-01-01,"CO",3.1
2023-01-01,"CO",3.3
2024-01-01,"CO",4.3
2025-01-01,"CO",NA
1976-01-01,"CT",9.2
1977-01-01,"CT",7.1
1978-01-01,"CT",5.3
1979-01-01,"CT",5.1
1980-01-01,"CT",5.7
1981-01-01,"CT",6.1
1982-01-01,"CT",6.8
1983-01-01,"CT",6
1984-01-01,"CT",4.7
1985-01-01,"CT",4.5
1986-01-01,"CT",3.7
1987-01-01,"CT",3.2
1988-01-01,"CT",2.9
1989-01-01,"CT",3.6
1990-01-01,"CT",4.9
1991-01-01,"CT",6.5
1992-01-01,"CT",7.3
1993-01-01,"CT",6.5
1994-01-01,"CT",5.6
1995-01-01,"CT",5.3
1996-01-01,"CT",5.2
1997-01-01,"CT",4.7
1998-01-01,"CT",3.2
1999-01-01,"CT",2.5
2000-01-01,"CT",2.2
2001-01-01,"CT",2.9
2002-01-01,"CT",4.4
2003-01-01,"CT",5.5
2004-01-01,"CT",5.1
2005-01-01,"CT",4.9
2006-01-01,"CT",4.4
2007-01-01,"CT",4.5
2008-01-01,"CT",5.6
2009-01-01,"CT",8.3
2010-01-01,"CT",9.5
2011-01-01,"CT",9
2012-01-01,"CT",8.4
2013-01-01,"CT",8
2014-01-01,"CT",6.6
2015-01-01,"CT",5.6
2016-01-01,"CT",4.9
2017-01-01,"CT",4.4
2018-01-01,"CT",3.9
2019-01-01,"CT",3.6
2020-01-01,"CT",8
2021-01-01,"CT",6.5
2022-01-01,"CT",4
2023-01-01,"CT",3.2
2024-01-01,"CT",3.2
2025-01-01,"CT",NA
1976-01-01,"DE",8.7
1977-01-01,"DE",8.2
1978-01-01,"DE",7.1
1979-01-01,"DE",6.8
1980-01-01,"DE",7.6
1981-01-01,"DE",7.9
1982-01-01,"DE",8.4
1983-01-01,"DE",7.7
1984-01-01,"DE",6.1
1985-01-01,"DE",5.1
1986-01-01,"DE",4.3
1987-01-01,"DE",3
1988-01-01,"DE",3
1989-01-01,"DE",3.3
1990-01-01,"DE",4.4
1991-01-01,"DE",6
1992-01-01,"DE",5.5
1993-01-01,"DE",5
1994-01-01,"DE",4.8
1995-01-01,"DE",4.4
1996-01-01,"DE",5.2
1997-01-01,"DE",4.1
1998-01-01,"DE",3.5
1999-01-01,"DE",3.2
2000-01-01,"DE",3.5
2001-01-01,"DE",3.5
2002-01-01,"DE",4.1
2003-01-01,"DE",4.3
2004-01-01,"DE",4
2005-01-01,"DE",4.1
2006-01-01,"DE",3.6
2007-01-01,"DE",3.4
2008-01-01,"DE",4.9
2009-01-01,"DE",8.2
2010-01-01,"DE",8.3
2011-01-01,"DE",7.4
2012-01-01,"DE",7
2013-01-01,"DE",6.5
2014-01-01,"DE",5.6
2015-01-01,"DE",4.8
2016-01-01,"DE",4.5
2017-01-01,"DE",4.4
2018-01-01,"DE",3.7
2019-01-01,"DE",3.6
2020-01-01,"DE",7.5
2021-01-01,"DE",5.4
2022-01-01,"DE",4.2
2023-01-01,"DE",3.8
2024-01-01,"DE",3.7
2025-01-01,"DE",NA
1976-01-01,"FL",9.3
1977-01-01,"FL",8.3
1978-01-01,"FL",6.8
1979-01-01,"FL",6
1980-01-01,"FL",6
1981-01-01,"FL",6.8
1982-01-01,"FL",8.5
1983-01-01,"FL",8.6
1984-01-01,"FL",6.6
1985-01-01,"FL",6.1
1986-01-01,"FL",5.9
1987-01-01,"FL",5.4
1988-01-01,"FL",5.2
1989-01-01,"FL",5.6
1990-01-01,"FL",6.2
1991-01-01,"FL",7.7
1992-01-01,"FL",8.4
1993-01-01,"FL",7.4
1994-01-01,"FL",6.5
1995-01-01,"FL",5.6
1996-01-01,"FL",5.3
1997-01-01,"FL",4.9
1998-01-01,"FL",4.4
1999-01-01,"FL",3.9
2000-01-01,"FL",3.7
2001-01-01,"FL",4.7
2002-01-01,"FL",5.6
2003-01-01,"FL",5.3
2004-01-01,"FL",4.6
2005-01-01,"FL",3.7
2006-01-01,"FL",3.3
2007-01-01,"FL",4
2008-01-01,"FL",6.3
2009-01-01,"FL",10.2
2010-01-01,"FL",11.3
2011-01-01,"FL",10.2
2012-01-01,"FL",8.7
2013-01-01,"FL",7.5
2014-01-01,"FL",6.4
2015-01-01,"FL",5.5
2016-01-01,"FL",4.9
2017-01-01,"FL",4.3
2018-01-01,"FL",3.6
2019-01-01,"FL",3.2
2020-01-01,"FL",8.1
2021-01-01,"FL",4.7
2022-01-01,"FL",3
2023-01-01,"FL",3
2024-01-01,"FL",3.4
2025-01-01,"FL",NA
1976-01-01,"GA",8.1
1977-01-01,"GA",6.9
1978-01-01,"GA",5.7
1979-01-01,"GA",5.1
1980-01-01,"GA",6.3
1981-01-01,"GA",6.4
1982-01-01,"GA",7.8
1983-01-01,"GA",7.6
1984-01-01,"GA",6.1
1985-01-01,"GA",6.4
1986-01-01,"GA",5.9
1987-01-01,"GA",5.6
1988-01-01,"GA",5.6
1989-01-01,"GA",5.4
1990-01-01,"GA",5.4
1991-01-01,"GA",5.3
1992-01-01,"GA",6.6
1993-01-01,"GA",5.7
1994-01-01,"GA",5.1
1995-01-01,"GA",4.8
1996-01-01,"GA",4.6
1997-01-01,"GA",4.5
1998-01-01,"GA",4.2
1999-01-01,"GA",3.8
2000-01-01,"GA",3.5
2001-01-01,"GA",4
2002-01-01,"GA",5
2003-01-01,"GA",4.8
2004-01-01,"GA",4.8
2005-01-01,"GA",5.3
2006-01-01,"GA",4.7
2007-01-01,"GA",4.6
2008-01-01,"GA",6.4
2009-01-01,"GA",9.9
2010-01-01,"GA",10.4
2011-01-01,"GA",10
2012-01-01,"GA",9
2013-01-01,"GA",8.1
2014-01-01,"GA",7.2
2015-01-01,"GA",6.1
2016-01-01,"GA",5.5
2017-01-01,"GA",4.8
2018-01-01,"GA",4
2019-01-01,"GA",3.6
2020-01-01,"GA",6.6
2021-01-01,"GA",3.9
2022-01-01,"GA",3.2
2023-01-01,"GA",3.3
2024-01-01,"GA",3.5
2025-01-01,"GA",NA
1976-01-01,"HI",9.1
1977-01-01,"HI",7.6
1978-01-01,"HI",7
1979-01-01,"HI",5.7
1980-01-01,"HI",5
1981-01-01,"HI",5.2
1982-01-01,"HI",6.1
1983-01-01,"HI",5.9
1984-01-01,"HI",5.4
1985-01-01,"HI",5.2
1986-01-01,"HI",4.6
1987-01-01,"HI",3.7
1988-01-01,"HI",3
1989-01-01,"HI",2.5
1990-01-01,"HI",2.6
1991-01-01,"HI",2.8
1992-01-01,"HI",4.1
1993-01-01,"HI",4.4
1994-01-01,"HI",5.1
1995-01-01,"HI",5.5
1996-01-01,"HI",5.9
1997-01-01,"HI",5.9
1998-01-01,"HI",5.8
1999-01-01,"HI",5.2
2000-01-01,"HI",4.2
2001-01-01,"HI",4.3
2002-01-01,"HI",4
2003-01-01,"HI",3.9
2004-01-01,"HI",3.3
2005-01-01,"HI",2.8
2006-01-01,"HI",2.6
2007-01-01,"HI",2.7
2008-01-01,"HI",4.1
2009-01-01,"HI",6.5
2010-01-01,"HI",6.7
2011-01-01,"HI",6.7
2012-01-01,"HI",5.8
2013-01-01,"HI",4.7
2014-01-01,"HI",4.2
2015-01-01,"HI",3.4
2016-01-01,"HI",2.9
2017-01-01,"HI",2.2
2018-01-01,"HI",2.4
2019-01-01,"HI",2.5
2020-01-01,"HI",11.7
2021-01-01,"HI",6
2022-01-01,"HI",3.3
2023-01-01,"HI",2.9
2024-01-01,"HI",3
2025-01-01,"HI",NA
1976-01-01,"ID",5.6
1977-01-01,"ID",5.9
1978-01-01,"ID",5.5
1979-01-01,"ID",5.8
1980-01-01,"ID",7.6
1981-01-01,"ID",7.6
1982-01-01,"ID",10
1983-01-01,"ID",9.2
1984-01-01,"ID",7.2
1985-01-01,"ID",7.8
1986-01-01,"ID",8.5
1987-01-01,"ID",7.7
1988-01-01,"ID",6.2
1989-01-01,"ID",5.4
1990-01-01,"ID",5.6
1991-01-01,"ID",6.3
1992-01-01,"ID",6.6
1993-01-01,"ID",6.1
1994-01-01,"ID",5.5
1995-01-01,"ID",5.5
1996-01-01,"ID",5.4
1997-01-01,"ID",5.3
1998-01-01,"ID",5.2
1999-01-01,"ID",5
2000-01-01,"ID",4.6
2001-01-01,"ID",5.1
2002-01-01,"ID",5.6
2003-01-01,"ID",5.6
2004-01-01,"ID",4.9
2005-01-01,"ID",4
2006-01-01,"ID",3.4
2007-01-01,"ID",3
2008-01-01,"ID",5
2009-01-01,"ID",9
2010-01-01,"ID",9.1
2011-01-01,"ID",8.4
2012-01-01,"ID",7.5
2013-01-01,"ID",6.9
2014-01-01,"ID",4.4
2015-01-01,"ID",3.9
2016-01-01,"ID",3.7
2017-01-01,"ID",3.2
2018-01-01,"ID",2.9
2019-01-01,"ID",2.9
2020-01-01,"ID",5.6
2021-01-01,"ID",3.6
2022-01-01,"ID",2.9
2023-01-01,"ID",3.2
2024-01-01,"ID",3.7
2025-01-01,"ID",NA
1976-01-01,"IL",6.5
1977-01-01,"IL",6.2
1978-01-01,"IL",6
1979-01-01,"IL",5.6
1980-01-01,"IL",8.1
1981-01-01,"IL",8.6
1982-01-01,"IL",11.3
1983-01-01,"IL",11.7
1984-01-01,"IL",9.2
1985-01-01,"IL",9.1
1986-01-01,"IL",8.3
1987-01-01,"IL",7.4
1988-01-01,"IL",6.7
1989-01-01,"IL",6.1
1990-01-01,"IL",6.3
1991-01-01,"IL",7.3
1992-01-01,"IL",7.9
1993-01-01,"IL",7.5
1994-01-01,"IL",5.8
1995-01-01,"IL",5.2
1996-01-01,"IL",5.3
1997-01-01,"IL",4.8
1998-01-01,"IL",4.5
1999-01-01,"IL",4.4
2000-01-01,"IL",4.5
2001-01-01,"IL",5.4
2002-01-01,"IL",6.6
2003-01-01,"IL",6.8
