"date","state","value"
2006-01-01,"CT",269478.6
2007-01-01,"CT",278485.4
2008-01-01,"CT",277793.2
2009-01-01,"CT",265530.8
2010-01-01,"CT",266773.4
2011-01-01,"CT",261555.8
2012-01-01,"CT",263649.9
2013-01-01,"CT",258911
2014-01-01,"CT",260605.8
2015-01-01,"CT",268869.8
2016-01-01,"CT",268196.2
2017-01-01,"CT",273875.1
2018-01-01,"CT",274582.8
2019-01-01,"CT",275225.4
2020-01-01,"CT",260765.2
2021-01-01,"CT",269838.7
2022-01-01,"CT",278975.9
2023-01-01,"CT",286628.5
2024-01-01,"CT",294027.6
2005-01-01,"DE",66381.2
2006-01-01,"DE",68411.8
2007-01-01,"DE",68132.4
2008-01-01,"DE",65771.3
2009-01-01,"DE",69186.1
2010-01-01,"DE",68291.9
2011-01-01,"DE",71103.5
2012-01-01,"DE",70562.4
2013-01-01,"DE",68656.8
2014-01-01,"DE",73961.8
2015-01-01,"DE",76211.2
2016-01-01,"DE",71941.4
2017-01-01,"DE",69555.6
2018-01-01,"DE",70856.5
2019-01-01,"DE",74627.8
2020-01-01,"DE",72506.8
2021-01-01,"DE",74657.1
2022-01-01,"DE",77149.3
2023-01-01,"DE",78014.4
2024-01-01,"DE",79652.7
2005-01-01,"FL",883164.5
2006-01-01,"FL",909298.9
2007-01-01,"FL",922288.3
2008-01-01,"FL",891766.8
2009-01-01,"FL",840480.7
2010-01-01,"FL",851956.4
2011-01-01,"FL",849395.3
2012-01-01,"FL",857861.4
2013-01-01,"FL",880183.5
2014-01-01,"FL",905648.5
2015-01-01,"FL",945929
2016-01-01,"FL",978989.8
2017-01-01,"FL",1014866.9
2018-01-01,"FL",1050433.8
2019-01-01,"FL",1084913.9
2020-01-01,"FL",1069758.8
2021-01-01,"FL",1170526.3
2022-01-01,"FL",1239883.6
2023-01-01,"FL",1292787.6
2024-01-01,"FL",1339618.7
2005-01-01,"GA",480838.3
2006-01-01,"GA",487524.9
2007-01-01,"GA",492238.7
2008-01-01,"GA",481860.3
2009-01-01,"GA",464016.8
2010-01-01,"GA",471588.3
2011-01-01,"GA",481215.4
2012-01-01,"GA",489027.3
2013-01-01,"GA",499900.2
2014-01-01,"GA",517511.9
2015-01-01,"GA",540108.5
2016-01-01,"GA",561718.3
2017-01-01,"GA",583543.3
2018-01-01,"GA",600934.7
2019-01-01,"GA",620744.9
2020-01-01,"GA",604745.9
2021-01-01,"GA",643013.8
2022-01-01,"GA",665678.1
2023-01-01,"GA",678201.2
2024-01-01,"GA",701072.8
2005-01-01,"HI",72941.9
2006-01-01,"HI",74893
2007-01-01,"HI",76434.1
2008-01-01,"HI",76830.2
2009-01-01,"HI",74118.5
2010-01-01,"HI",76130.2
2011-01-01,"HI",77174.2
2012-01-01,"HI",78694
2013-01-01,"HI",80534.9
2014-01-01,"HI",81304.9
2015-01-01,"HI",83857.7
2016-01-01,"HI",85670.4
2017-01-01,"HI",87436.4
2018-01-01,"HI",88836.4
2019-01-01,"HI",88855.2
2020-01-01,"HI",79840.1
2021-01-01,"HI",84408.5
2022-01-01,"HI",86887.8
2023-01-01,"HI",88614.4
