"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2016,"MS",2990.595,6,21.8,109911,"Mississippi",1,2017,2017,NA,0,1,0,""
2016,"MT",1042.137,4.3,31,47189.6,"Montana",1,2019,2019,NA,0,1,0,""
2016,"NC",10161.802,5.1,30.4,536308.5,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal"
2016,"ND",756.114,3,29.6,54756,"North Dakota",1,2018,2018,2018,0,1,1,""
2016,"NE",1906.483,3.1,31.4,121303.1,"Nebraska",1,2021,2021,NA,0,1,0,""
2016,"NH",1343.694,2.9,36.6,80736.1,"New Hampshire",1,2019,2019,2019,1,1,0,""
2016,"NJ",8873.584,4.9,38.6,587049.7,"New Jersey",1,2018,2018,2018,1,1,0,""
2016,"NM",2092.555,6.8,27.2,93043.5,"New Mexico",1,2018,2018,NA,0,1,1,""
2016,"NV",2919.555,5.8,23.5,156007.4,"Nevada",1,1949,1949,2010,1,1,0,""
2016,"NY",19636.391,4.9,35.7,1590567.8,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/"
2016,"OH",11640.06,5.1,27.5,638157.5,"Ohio",1,2021,2021,2021,1,1,0,""
2016,"OK",3928.143,4.7,25.2,190093.5,"Oklahoma",0,NA,NA,NA,0,0,0,""
2016,"OR",4093.271,4.8,32.7,214769.3,"Oregon",1,2019,2019,2019,1,1,0,""
2016,"PA",12788.468,5.3,30.8,744847.1,"Pennsylvania",1,2017,2017,2017,1,1,0,""
2016,"RI",1057.816,5.2,34.1,58630,"Rhode Island",1,2018,2018,2019,1,1,0,""
2016,"SC",4963.031,4.9,27.2,220559.4,"South Carolina",0,NA,NA,NA,0,0,0,""
2016,"SD",863.693,3,28.9,51264.3,"South Dakota",1,2021,2021,NA,0,1,0,""
2016,"TN",6651.277,4.7,26.1,343544.9,"Tennessee",1,2019,NA,2019,1,0,0,""
2016,"TX",27914.064,4.7,28.9,1633863.3,"Texas",0,NA,NA,NA,0,0,0,""
2016,"UT",3044.241,3.3,32.6,162528.3,"Utah",0,NA,NA,NA,0,0,0,""
2016,"VA",8417.651,4,38.1,505107.7,"Virginia",1,2020,2020,2020,1,1,0,""
2016,"VT",624.366,3.1,36.4,32312.7,"Vermont",1,2023,NA,2023,1,0,0,""
2016,"WA",7299.961,5.2,35.1,495724.9,"Washington",1,2020,2020,NA,0,1,1,"tribal-only"
2016,"WI",5775.17,3.9,29.5,319272.3,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only"
2016,"WV",1832.435,6.1,20.8,73513.3,"West Virginia",1,2018,2018,2018,1,1,0,""
2016,"WY",585.243,5.3,27.1,37853.5,"Wyoming",1,2021,2021,2021,1,1,0,""
2017,"AK",740.983,6.6,28.8,53550.9,"Alaska",0,NA,NA,NA,0,0,0,""
2017,"AL",4877.989,4.5,25.5,216615.5,"Alabama",0,NA,NA,NA,0,0,0,""
2017,"AR",3003.855,3.7,23.4,123882.6,"Arkansas",1,2018,2019,2022,1,1,0,""
2017,"AZ",7048.088,5,29.4,333099,"Arizona",1,2021,2021,2021,1,1,0,""
2017,"CA",39337.785,4.8,33.6,2740550.3,"California",0,NA,NA,NA,0,0,0,""
2017,"CO",5617.421,2.6,41.2,350209.1,"Colorado",1,2019,2020,2020,1,1,0,""
2017,"CT",3575.324,4.4,38.7,273875.1,"Connecticut",1,2021,2021,2021,1,1,0,""
2017,"DE",957.942,4.4,31.5,69555.6,"Delaware",1,2018,2018,2018,1,1,0,""
2017,"FL",20977.089,4.3,29.7,1014866.9,"Florida",1,2021,2023,2023,1,1,0,"lawsuit in 2021 that shut down operations"
2017,"GA",10417.031,4.8,30.9,583543.3,"Georgia",0,NA,NA,NA,0,0,0,""
2017,"HI",1425.763,2.2,32.9,87436.4,"Hawaii",0,NA,NA,NA,0,0,0,""
2017,"IA",3143.734,3.1,28.9,187125,"Iowa",1,2019,2019,2019,1,1,0,""
2017,"ID",1719.745,3.2,26.8,72935.2,"Idaho",0,NA,NA,NA,0,0,0,""
2017,"IL",12779.893,5,34.4,832826.8,"Illinois",1,2019,2020,2020,1,1,0,""
2017,"IN",6662.068,3.5,26.8,357535.8,"Indiana",1,2019,2019,2019,1,1,0,""
2017,"KS",2910.892,3.6,33.7,166273.6,"Kansas",1,2022,2022,2022,1,1,0,""
2017,"KY",4455.59,4.8,24,203564,"Kentucky",1,2023,2023,2023,1,1,0,""
2017,"LA",4673.673,5.1,23.8,239830.7,"Louisiana",1,2021,2021,2022,1,1,0,""
2017,"MA",6863.56,3.8,43.4,530129.5,"Massachusetts",1,2022,2023,2023,1,1,0,""
2017,"MD",6028.186,4.1,39.7,399714.5,"Maryland",1,2021,2021,2021,1,1,0,""
2017,"ME",1335.743,3.4,32.1,63000.6,"Maine",1,2022,2023,2023,1,1,0,""
2017,"MI",9976.752,4.6,29.1,505101.5,"Michigan",1,2019,2020,2021,1,1,0,""
